Karolina spogląda za okno. Z nieba leje się żar. W ubiegłym miesiącu w jej okolicy nie spadła nawet kropla deszczu. “Z powodu suszy może zabraknąć jedzenia dla nas wszystkich”, myśli Karolina.	Caroline looks out the window. Heat is pouring down from the sky. Last month, not even a drop of rain fell in this area. “Because of this drought, there may not be enough food for all of us,” thinks Caroline.	Siv ser ut av vinduet. Det er stekende solskinn. Siste måned har det ikke falt en eneste dråpe regn der hun bor. «Kanskje blir det ikke nok mat til alle på grunn av tørken», tenker Siv.	ANX1
Rafał zauważył, że tegoroczna wiosna była wyraźnie inna od poprzednich. Było gorąco, sucho i zupełnie nie słyszało się bzyczenia owadów w parku. Rafał przeczytał, że to skutki zmiany klimatu i że wraz z wymieraniem owadów mogą pojawić się problemy w dostępności zapylanych przez nie zbóż.	Ralph noticed that last spring was quite unusual. The weather was hot and dry, and no insects could be heard buzzing in the park at all. Ralph has read that climate change is causing such things and that with pollinating insects going extinct, there may be shortages of grain.	Haakon la merke til at denne våren var veldig forskjellig fra de forrige. Det var varmt og tørt, og man hørte aldri summing av insekter i parken. Haakon har lest at klimaendringene står bak, og at utryddelsen av insekter kan medføre problemer med tilgangen til kornarter som de pollinerer.	ANX2
Tomasz przeczytał w internecie, że tempo wymierania gatunków współcześnie jest oceniane na 100 razy szybsze niż naturalne. Według niektórych naukowców warunkiem przetrwania gatunku ludzkiego jest podjęcie zdecydowanych kroków na przestrzeni 20-30 lat.	Thomas read on the Internet that the current rate of species extinction is estimated to be 100 times greater than the natural rate. According to some scientists, the survival of the human species will need decisive action within 20-30 years.	Viktor leste på internett at utryddelsen av arter nå skjer i et tempo hundre ganger fortere enn det naturlige. Ifølge noen forskere er det nødvendig å sette i verk tiltak i løpet av neste 20–30 årene for at menneskearten skal overleve.	ANX3
Spacerując po parku Paulina zauważyła, że wiele drzew usycha i choruje. Paulina wie, że jeśli w wyniku zmiany klimatu zniknie więcej drzew, będzie nam jeszcze trudniej żyć w trakcie upałów. Wyobraża sobie, że w okolicy nie będzie nawet jednego drzewa, by schronić się w jego cieniu.	While walking in the park, Melanie noticed that many trees are dying or diseased. She knows that if trees keep disappearing due to climate change, it will be even more difficult for us to live in hot weather. She imagines that there won't be a single tree in this area to provide shade.	På en tur i parken la Randi merke til at mange trær var syke og visne. Randi vet at hvis klimaendringene gjør at enda flere trær utryddes, vil det bli vanskeligere for oss å klare oss på hete dager. Hun forestiller seg nabolaget sitt uten et eneste tre som man kan gjemme seg under.	ANX4
W miejscowości Piotra wichury zniszczyły kilkanaście budynków i powaliły wiele drzew. Piotr myśli o tym, że w wyniku zmiany klimatu takie zjawiska - niszczące infrastrukturę i zagrażające życiu ludzi - będą coraz częstsze.	In the town where Peter lives, storms destroyed several buildings and felled many trees. It occurs to him that such weather conditions, which destroy infrastructure and threaten people's lives, are the result of climate change and will be increasing in frequency.	I byen der Halvor bor, har stormen ødelagt mer enn ti bygninger og felt mange trær. Halvor forstår at klimaendringene gjør at slike fenomener – som påfører skader på infrastruktur og truer menneskeliv – skjer stadig oftere.	ANX5
Dom Barbary został porwany przez wodę podczas powodzi błyskawicznej. Barbara jest jedną z osób, która w wyniku powodzi straciła cały dobytek życia. Choć życzliwi ludzie zaoferowali jej, by tymczasowo zatrzymała się u nich, wszyscy w okolicy obawiają się, że przez zmianę klimatu tego rodzaju sytuacje będą coraz częstsze. Dom, w którym zatrzymała się Barbara także znajduje się na terenie zalewowym.	Barbara's house was carried away by a flash flood. Barbara is among those who lost all their property in the flood. Although some kind people have invited her to stay with them temporarily, everyone in the area is worried that climate change will make such disasters more frequent. The house in which Barbara is now staying is also located in a floodplain.	Bodils hus ble tatt av vannet ved en styrtflom. Bodil er en av dem som mistet alt de eide i flommen. Selv om vennlige folk har latt henne bo hos dem inntil videre, frykter alle i området at slike situasjoner vil skje stadig oftere på grunn av klimaendringene. Huset som Bodil nå bor i, er også bygd på en elveslette.	ANX6
Ola zajmuje się badaniem oceanów. Ostatnio musiała upewnić się, czy nie pomyliła się w obliczeniach - wskazywały one, że topniejący arktyczny lód spowoduje zalanie terenów, na których mieszka kilkadziesiąt milionów ludzi. Niestety, przeprowadzone przez nią obliczenia są poprawne.	Ada studies the oceans. Recently she had to double check her calculations, which indicated that melting Arctic ice may submerge areas inhabited by tens of millions of people. Unfortunately, her calculations turned out to be correct.	Gunn driver med havforskning. Nylig måtte hun forsikre seg om at hun ikke hadde tatt feil i beregningene: De viste at smeltende is i Arktis kunne forårsake oversvømming av områder med titalls millioner innbyggere. Dessverre var beregningene hennes riktige.	ANX7
Z powodu tegorocznej suszy pożary w pobliskim parku narodowym zagrażają bezpieczeństwu mieszkańców trzech pobliskich miejscowości. W jednej z nich, na skraju lasu, mieszkają dziadkowie Roberta. Robert często nie może spać, myśląc o niebezpieczeństwie grożącym jego dziadkom.	Due to this year's drought, fires in the nearby national park threaten the safety of residents of three towns. Robert's grandparents live in one of them, right on the edge of the forest. Worries about the safety of his grandparents often keep him awake at night.	På grunn av tørken dette året har det oppstått branner i en nasjonalpark som truer innbyggerne i tre landsbyer i nærheten. Foreldrene til Mads bor i en av disse, i skogkanten. Mads har ofte problemer med å sovne når han ligger og grubler om foreldrene hans er i fare.	ANX8
Malwina wzdrygnęła się, czytając ulotkę, w której było napisane “Ludzie, którzy będą mieszkać w Twoim kraju za kilkadziesiąt lat, będą zmagać się z okrutnymi falami upałów i innymi niebezpiecznymi zjawiskami pogodowymi. Wśród nich mogą znaleźć się Twoi bliscy i przyjaciele.”	Felicia shuddered as she read in a leaflet that “people who will live in your country in a few decades will struggle with cruel heat waves and other dangerous weather conditions. Your relatives and friends may be among them.”	Tanja leste en brosjyre og grøsset seg. Her var det skrevet: «Menneskene som kommer til å bo i landet ditt om noen tiår, vil slite med hetebølger og annet ekstremvær. Dine nærmeste og venner kan være blant dem som blir rammet.»	ANX9
Kasia przeczytała, że z powodu zmiany klimatu za kilkadziesiąt lat ludzkość może stanąć przed koniecznością walki o wodę i inne kurczące się zasoby naturalne. Trudno jej to sobie wyobrazić, zwłaszcza kiedy myśli o tym, że jej młodsza siostra miałaby tego doświadczyć. Kasia zastanawia się, czy jest coś, co mogłaby zrobić, by zadbać o przyszłość swojej siostry.	Katie has read that in a few decades, due to climate change, people will be fighting over water and other vanishing natural resources. She finds it difficult to imagine, especially when it occurs to her that this would happen within the lifetime of her little sister. Katie wonders if there is anything she could do to safeguard her sister's future.	Ana har lest at mennesker om noen tiår kan bli tvunget til å kjempe om vann og andre minkende naturressurser på grunn av endringer i klimaet. Det er vanskelig å se for seg slike ting, særlig når hun tenker på at lillesøsteren hennes kommer til å oppleve det. Ana lurer på om hun kan gjøre noe for å berge søsterens framtid.	ANX10
Ignacy, jak co dzień, obudził się, włączył radio i poszedł do kuchni nastawić wodę na herbatę. Z kranu nie poleciała jednak woda. W radiu usłyszał, że z powodu suszy wywołanej zmianą klimatu w mieście zabrakło wody i nikt nie wie, jak długo trwać będą przerwy w dostawie wody. Ignacy zupełnie nie wie, skąd ma wziąć wodę na najbliższe dni.	As usual, Eugene woke up, turned on the radio and went to the kitchen to make some tea. This time, though, the tap ran dry. He heard on the radio that the city has run out of water due to the drought caused by climate change, and that it is not known when water supply will be restored. Eugene is at a loss where to get some water for the next few days.	Sigve våknet som vanlig, slo på radioen og gikk på kjøkkenet for å koke vann til te. Det kom ikke noe vann fra kranen. Han hørte på radioen at tørken, som var forårsaket av klimaendringer, førte til vannmangel i byen, og at ingen visste hvor lenge det kom til å vare. Sigve har ingen peiling på hvor han skal få tak i vann de nærmeste dagene.	ANX11
Natalia pracuje w przedszkolu. Kiedy prowadzi zajęcia o porach roku dzieci wypytują ją, dlaczego zima, którą znają, nie przypomina śnieżnej zimy z obrazków w książeczkach. Natalia myśli wtedy o przyszłości swoich podopiecznych i o tym, jak zmiana klimatu wpłynie na ich życie.	Natalia works in a kindergarten. When she tells the children about the seasons, they ask her why the winter familiar to them is not like the snowy winter in the pictures in their books. This makes Natalia think about their future and the ways in which climate change will affect their lives.	Hege jobber i en barnehage. Når hun snakker med barna om årstider, spør de hvorfor vintrene nå for tiden ikke likner på den snørike vinteren på bildene i bøkene. Da begynner Hege å bekymre seg for barnas fremtid og lure på hvordan klimaendringene kommer til å påvirke dem.	ANX12
Ewa i Wojtek mają wątpliwości, czy powinni mieć dziecko. Oboje dużo czytali na temat zmiany klimatu i tego, jak trudno będzie się żyło przyszłym pokoleniom. Ewa uważa, że to nieetyczne narażać dziecko na tak trudne życie. Wojtek zaś obawia się, czy to dobra decyzja w obliczu przeludnienia Ziemi.	Eve and Edward can't decide whether to have a child. They both have read a lot about climate change and how difficult it will be for future generations to live. Eve believes that it is unfair to expose a child to such a difficult life. Edward is also worried that, in the face of overpopulation, having a child may not be such a good idea.	Eirin og Bjørn er i tvil om de bør ha barn. Begge har lest mye om klimaendringer og vet hvor vanskelig livet vil bli for kommende generasjoner. Eirin synes at det er uetisk å utsette barnet for et så vanskelig liv. Bjørn er ikke sikker på om det er en god ide å få barn når jorden er så overbefolket.	ANX13
Artur sądził, że zmiana klimatu będzie problemem, który dotknie ludzi w odległej przyszłości. Kiedy dowiedział się, że braki wody, których doświadczał w ubiegłych miesiącach, są spowodowane zmianą klimatu, zaczął więcej czytać o tym zjawisku.	Arthur used to believe that climate change would only affect people in the distant future. When he learned that the water shortages he had experienced in recent months were due to climate change, he started to read more about it.	Runar trodde at endringene i klimaet var et problem som ville ramme menneskene i en fjern framtid. Da han fikk vite at vannmangelen, som han selv hadde opplevd et par ganger de siste månedene, var forårsaket av klimaendringene, begynte han å lese mer om fenomenet.	ANX14
Bogdan rozmawia z córką o ich planach wakacyjnych. Chciałby pokazać jej rafy koralowe, ponieważ wkrótce znikną one zupełnie przez zmianę klimatu. Ta zwykła rozmowa powoduje, że Bogdan zaczyna niepokoić się o przyszłość swojej córki. Ma świadomość tego, że jego córka odczuje negatywne skutki zmiany klimatu na własnej skórze.	Johnny is discussing vacation plans with his daughter. He would like to show her a coral reef, knowing that coral reefs will become extinct due to climate change. This casual conversation makes Johnny worried about his daughter's future. He is aware that his daughter will directly experience the negative consequences of climate change.	Viljar snakker med datteren om ferieplanene. Han ønsker å vise henne korallrev før de blir fullstendig utryddet på grunn av endrende klima. Etter denne uskyldige samtalen blir Viljar redd for datterens framtid. Nå har han innsett at hun kommer til å oppleve klimaendringenes negative konsekvenser.	ANX15
